id,code,state,obesity,education,health_expenditures_capita,population
1,AL,Alabama,32.2,22.3,6271.66,4833722
2,AK,Alaska,24.5,25.5,9127.63,735132
4,AZ,Arizona,24.3,28.0,5433.89,6626624
5,AR,Arkansas,30.1,18.8,6166.94,2959373
6,CA,California,24.0,31.7,6237.59,38332521
8,CO,Colorado,21.0,35.5,5993.80,5268367
9,CT,Connecticut,22.5,34.5,8653.57,3596080
10,DE,Delaware,28.0,26.9,8479.75,925749
11,DC,District of Columbia,22.2,45.7,10348.85,646449
12,FL,Florida,26.6,26.0,7156.32,19552860
13,GA,Georgia,29.6,27.6,5467.47,9992167
15,HI,Hawaii,22.7,26.6,6856.16,1404054
16,ID,Idaho,26.5,23.8,5658.00,1612136
17,IL,Illinois,28.2,27.4,6756.37,12882135
18,IN,Indiana,29.6,21.1,6666.31,6570902
19,IA,Iowa,28.4,24.3,6921.33,3090416
20,KS,Kansas,29.4,30.0,6781.86,2893957
21,KY,Kentucky,31.3,21.0,6595.79,4395295
22,LA,Louisiana,31.0,22.4,6795.26,4625470
23,ME,Maine,26.8,24.2,8520.95,1328302
24,MD,Maryland,27.1,35.2,7491.79,5928814
25,MA,Massachusetts,23.0,36.7,9277.90,6692824
26,MI,Michigan,30.9,24.4,6618.37,9895622
27,MN,Minnesota,24.8,32.5,7409.33,5420380
28,MS,Mississippi,34.0,20.1,6571.04,2991207
29,MO,Missouri,30.5,28.1,6967.41,6044171
30,MT,Montana,23.0,25.5,6639.83,1015165
31,NE,Nebraska,26.9,24.8,7047.57,1868516
32,NV,Nevada,22.4,24.5,5735.30,2790136
33,NH,New Hampshire,25.0,35.4,7839.32,1323459
34,NJ,New Jersey,23.8,34.6,7582.94,8899339
35,NM,New Mexico,25.1,25.1,6650.61,2085287
36,NY,New York,23.9,30.6,8341.37,19651127
37,NC,North Carolina,27.8,23.4,6444.02,9848060
38,ND,North Dakota,27.2,25.2,7748.82,723393
39,OH,Ohio,29.2,24.6,7075.91,11570808
40,OK,Oklahoma,30.4,22.9,6531.86,3850568
41,OR,Oregon,26.8,25.9,6579.89,3930065
42,PA,Pennsylvania,28.6,25.3,7729.96,12773801
44,RI,Rhode Island,25.4,27.2,8309.08,1051511
45,SC,South Carolina,31.5,24.9,6323.38,4774839
46,SD,South Dakota,27.3,25.5,7055.91,844877
47,TN,Tennessee,30.8,24.3,6410.61,6495978
48,TX,Texas,31.0,24.5,5923.73,26448193
49,UT,Utah,22.5,30.8,5030.94,2900872
50,VT,Vermont,23.2,34.2,7634.93,626630
51,VA,Virginia,26.0,33.1,6286.49,8260405
53,WA,Washington,25.5,29.9,6781.86,6971406
54,WV,West Virginia,32.5,15.3,7667.14,1854304
55,WI,Wisconsin,26.3,25.6,7232.85,5742713
56,WY,Wyoming,25.1,22.5,7040.26,582658
